#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 714 | 0.000005684s | 64 B
                 715 | 0.000005670s | 64 B
                 716 | 0.000005657s | 64 B
                 717 | 0.000007117s | 64 B
                 718 | 0.000005978s | 64 B
                 719 | 0.000005858s | 64 B
                 720 | 0.000005796s | 64 B
                 721 | 0.000005788s | 64 B
                 722 | 0.000005945s | 64 B
                 723 | 0.000005990s | 64 B
                 724 | 0.000005758s | 64 B
                 725 | 0.000006003s | 64 B
                 726 | 0.000005750s | 64 B
                 727 | 0.000006022s | 64 B
               49986 | 0.000238186s | 4344 B
               99245 | 0.000516903s | 8616 B
              148504 | 0.000778626s | 12888 B
              197763 | 0.001808444s | 17168 B
              247022 | 0.001788494s | 21440 B
              296281 | 0.002029447s | 25712 B
              345540 | 0.002465207s | 29992 B
              394799 | 0.002609946s | 34264 B
              444058 | 0.002728903s | 38536 B
              493317 | 0.004647181s | 42816 B
              542576 | 0.003235529s | 47088 B
              591835 | 0.003843286s | 51360 B
              641094 | 0.004548828s | 55640 B
              690353 | 0.004527695s | 59912 B
              739612 | 0.005209762s | 64184 B
              788871 | 0.005240228s | 68464 B
              838130 | 0.005795220s | 72736 B
              887389 | 0.006378698s | 77008 B
              936648 | 0.006479646s | 81288 B
              985907 | 0.007023837s | 85560 B
             1035166 | 0.007517426s | 89832 B
             1084425 | 0.007617086s | 94112 B
             1133684 | 0.007573547s | 98384 B
             1182943 | 0.009634138s | 102656 B
             1232202 | 0.009040510s | 106936 B
             1281461 | 0.010623877s | 111208 B
             1330720 | 0.011497890s | 115488 B
             1379979 | 0.016245468s | 119760 B
             1429238 | 0.010978117s | 124032 B
             1478497 | 0.011927934s | 128312 B
             1527756 | 0.012348538s | 132584 B
             1577015 | 0.012512017s | 136856 B
             1626274 | 0.013253448s | 141136 B
             1675533 | 0.012518814s | 145408 B
             1724792 | 0.013720289s | 149680 B
