#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 539 | 0.000002205s | 48 B
                 540 | 0.000002233s | 48 B
                 541 | 0.000002164s | 48 B
                 542 | 0.000002159s | 48 B
                 543 | 0.000002224s | 48 B
                 544 | 0.000002153s | 48 B
                 545 | 0.000003166s | 48 B
                 546 | 0.000002740s | 48 B
                 547 | 0.000002266s | 48 B
                 548 | 0.000003212s | 48 B
                 549 | 0.000002171s | 48 B
                 550 | 0.000002161s | 48 B
                 551 | 0.000002141s | 48 B
                 552 | 0.000002143s | 48 B
                 553 | 0.000002144s | 48 B
                 554 | 0.000002188s | 48 B
                 555 | 0.000002510s | 56 B
                 556 | 0.000002273s | 56 B
                 557 | 0.000002234s | 56 B
                 558 | 0.000002240s | 56 B
                 559 | 0.000002302s | 56 B
                 560 | 0.000002182s | 56 B
                 561 | 0.000002261s | 56 B
                 562 | 0.000002204s | 56 B
                 563 | 0.000002126s | 56 B
                 564 | 0.000004550s | 56 B
                 565 | 0.000002882s | 56 B
                 566 | 0.000002400s | 56 B
                 567 | 0.000002233s | 56 B
                 568 | 0.000002240s | 56 B
                 569 | 0.000002188s | 56 B
                 570 | 0.000002247s | 56 B
                 571 | 0.000002194s | 56 B
                 572 | 0.000002175s | 56 B
                 573 | 0.000002489s | 56 B
                 574 | 0.000002428s | 56 B
                 575 | 0.000002221s | 56 B
                 576 | 0.000002586s | 56 B
                 577 | 0.000002318s | 56 B
                 578 | 0.000002934s | 56 B
                 579 | 0.000002319s | 56 B
                 580 | 0.000002216s | 56 B
                 581 | 0.000002181s | 56 B
                 582 | 0.000002507s | 56 B
                 583 | 0.000002346s | 56 B
                 584 | 0.000002572s | 56 B
                 585 | 0.000002204s | 56 B
                 586 | 0.000002270s | 56 B
                 587 | 0.000002221s | 56 B
                 588 | 0.000002240s | 56 B
                 589 | 0.000002216s | 56 B
                 590 | 0.000002208s | 56 B
                 591 | 0.000013738s | 56 B
                 592 | 0.000002478s | 56 B
                 593 | 0.000002378s | 56 B
                 594 | 0.000002277s | 56 B
                 595 | 0.000002195s | 56 B
                 596 | 0.000002203s | 56 B
