#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 629 | 0.000033875s | 56 B
                 630 | 0.000034362s | 56 B
                 631 | 0.000033547s | 56 B
                 632 | 0.000051309s | 56 B
                 633 | 0.000033408s | 56 B
                 634 | 0.000035403s | 56 B
                 635 | 0.000035576s | 56 B
                 636 | 0.000035994s | 56 B
                 637 | 0.000034403s | 56 B
                 638 | 0.000032540s | 56 B
                 639 | 0.000034888s | 56 B
                 640 | 0.000034381s | 56 B
                 641 | 0.000034786s | 56 B
                 642 | 0.000034145s | 56 B
                 643 | 0.000033917s | 56 B
                 644 | 0.000033191s | 56 B
                 645 | 0.000036507s | 56 B
                 646 | 0.000035676s | 56 B
                 647 | 0.000036258s | 64 B
                 648 | 0.000041632s | 64 B
                 649 | 0.000037273s | 64 B
                 650 | 0.000034305s | 64 B
                 651 | 0.000037107s | 64 B
                 652 | 0.000035386s | 64 B
                 653 | 0.000041352s | 64 B
                 654 | 0.000034372s | 64 B
                 655 | 0.000035768s | 64 B
                 656 | 0.000036501s | 64 B
                 657 | 0.000028035s | 64 B
                 658 | 0.000036768s | 64 B
                 659 | 0.000037973s | 64 B
                 660 | 0.000035989s | 64 B
                 661 | 0.000032247s | 64 B
                 662 | 0.000032545s | 64 B
                 663 | 0.000040366s | 64 B
                 664 | 0.000035596s | 64 B
                 665 | 0.000036741s | 64 B
                 666 | 0.000034418s | 64 B
                 667 | 0.000037488s | 64 B
                 668 | 0.000036541s | 64 B
                 669 | 0.000037385s | 64 B
                 670 | 0.000037205s | 64 B
                 671 | 0.000053409s | 64 B
                 672 | 0.000034111s | 64 B
                 673 | 0.000039014s | 64 B
                 674 | 0.000028287s | 64 B
                 675 | 0.000055421s | 64 B
                 676 | 0.000036442s | 64 B
                 677 | 0.000038513s | 64 B
                 678 | 0.000037002s | 64 B
                 679 | 0.000038202s | 64 B
                 680 | 0.000036041s | 64 B
                 681 | 0.000037990s | 64 B
                 682 | 0.000038531s | 64 B
                 683 | 0.000037563s | 64 B
                 684 | 0.000038159s | 64 B
                 685 | 0.000037485s | 64 B
                 686 | 0.000036606s | 64 B
                 687 | 0.000035053s | 64 B
                 688 | 0.000030364s | 64 B
                 689 | 0.000035471s | 64 B
                 690 | 0.000034899s | 64 B
                 691 | 0.000023890s | 64 B
                 692 | 0.000024471s | 64 B
                 693 | 0.000026273s | 64 B
                 694 | 0.000024176s | 64 B
                 695 | 0.000023812s | 64 B
                 696 | 0.000029303s | 64 B
                 697 | 0.000024692s | 64 B
                 698 | 0.000022375s | 64 B
                 699 | 0.000022402s | 64 B
                 700 | 0.000022373s | 64 B
                 701 | 0.000025170s | 64 B
                 702 | 0.000023831s | 64 B
                 703 | 0.000022491s | 64 B
                 704 | 0.000022444s | 64 B
                 705 | 0.000022611s | 64 B
                 706 | 0.000022637s | 64 B
                 707 | 0.000022607s | 64 B
                 708 | 0.000022485s | 64 B
                 709 | 0.000022496s | 64 B
                 710 | 0.000022480s | 64 B
                 711 | 0.000023096s | 64 B
                 712 | 0.000022735s | 64 B
                 713 | 0.000065818s | 64 B
                 714 | 0.000023337s | 64 B
                 715 | 0.000022733s | 64 B
                 716 | 0.000022883s | 64 B
                 717 | 0.000023358s | 64 B
                 718 | 0.000023450s | 64 B
                 719 | 0.000023559s | 64 B
                 720 | 0.000023144s | 64 B
                 721 | 0.000022705s | 64 B
                 722 | 0.000025284s | 64 B
                 723 | 0.000033874s | 64 B
                 724 | 0.000028262s | 64 B
                 725 | 0.000040446s | 64 B
                 726 | 0.000022921s | 64 B
                 727 | 0.000023077s | 64 B
                1141 | 0.000039592s | 104 B
                1555 | 0.000059816s | 136 B
                1969 | 0.000076484s | 176 B
                2383 | 0.000098950s | 208 B
                2797 | 0.000136551s | 248 B
                3211 | 0.000176039s | 280 B
                3625 | 0.000243207s | 320 B
                4039 | 0.000307911s | 352 B
                4453 | 0.000299657s | 392 B
                4867 | 0.000404056s | 424 B
                5281 | 0.000443634s | 464 B
                5695 | 0.000316738s | 496 B
                6109 | 0.000355584s | 536 B
                6523 | 0.000381410s | 568 B
                6937 | 0.000416921s | 608 B
                7351 | 0.000455402s | 640 B
                7765 | 0.000720433s | 680 B
                8179 | 0.000580834s | 712 B
                8593 | 0.000600926s | 752 B
                9007 | 0.000722901s | 784 B
                9421 | 0.000760137s | 824 B
                9835 | 0.000746913s | 856 B
               10249 | 0.000808809s | 896 B
               10663 | 0.000811743s | 928 B
               11077 | 0.001226603s | 968 B
               11491 | 0.001153697s | 1000 B
               11905 | 0.001135497s | 1040 B
               12319 | 0.001567222s | 1072 B
               12733 | 0.001180246s | 1112 B
               13147 | 0.001619258s | 1144 B
               13561 | 0.001576669s | 1184 B
               13975 | 0.001205348s | 1216 B
               14389 | 0.001285367s | 1256 B
               14803 | 0.002507067s | 1288 B
               15217 | 0.001846475s | 1328 B
               15631 | 0.001944894s | 1360 B
               16045 | 0.001970781s | 1400 B
